outcome,dose_bin,reference_bin,estimate,std_error,ci_lower,ci_upper,p_value,n_obs,n_hexagons,cohort_specification,unit
sch_flg,decrease_large,delta_w_h=0,-0.032743257355301966,0.46709331658565617,-0.9482372047317308,0.8827506900211267,0.9441141392220702,149451,8438,outcome_specific,percentage_points
sch_flg,decrease_small,delta_w_h=0,-2.212583031019619,0.8419447413132268,-3.8627785858008497,-0.5623874762383876,0.008591215144750919,149451,8438,outcome_specific,percentage_points
sch_flg,increase_small,delta_w_h=0,1.1787984566894842,1.3100114665419613,-1.3887989077505485,3.746395821129517,0.36820786173877074,149451,8438,outcome_specific,percentage_points
sch_flg,increase_large,delta_w_h=0,1.0013993460237276,1.5434205020585383,-2.0236752541009873,4.0264739461484425,0.5164569360750413,149451,8438,outcome_specific,percentage_points
meet_flg,decrease_large,delta_w_h=0,-0.4933389453963496,0.7009595103731849,-1.867206387675009,0.8805284968823098,0.48155528483774335,146539,8305,outcome_specific,percentage_points
meet_flg,decrease_small,delta_w_h=0,-6.720080691877721,1.0404553541354695,-8.759353595715217,-4.680807788040226,1.058937382225622e-10,146539,8305,outcome_specific,percentage_points
meet_flg,increase_small,delta_w_h=0,-3.2293471647824035,2.789864393787104,-8.69742884749755,2.238734517932743,0.24705856120308867,146539,8305,outcome_specific,percentage_points
meet_flg,increase_large,delta_w_h=0,7.302483797965858,1.9745297870701173,3.4324425928457423,11.172525003085976,0.00021709756425880578,146539,8305,outcome_specific,percentage_points
success_within_20,decrease_large,delta_w_h=0,-2.055675839586639,0.8915106192006367,-3.8030218624834466,-0.3083298166898313,0.021121554864473202,130562,8250,outcome_specific,percentage_points
success_within_20,decrease_small,delta_w_h=0,-4.088178239505769,1.4275115962546645,-6.886077284826396,-1.290279194185143,0.004185982108859898,130562,8250,outcome_specific,percentage_points
success_within_20,increase_small,delta_w_h=0,-6.334147489091671,3.0396737502126054,-12.291857609359443,-0.3764373688238995,0.03717818194799616,130562,8250,outcome_specific,percentage_points
success_within_20,increase_large,delta_w_h=0,11.485690639865355,2.8695192437030044,5.861480529383342,17.109900750347368,6.26730021491273e-05,130562,8250,outcome_specific,percentage_points
utlz_within_25,decrease_large,delta_w_h=0,0.866790145846578,1.0030896972761107,-1.0992495676238256,2.8328298593169814,0.3875235667223076,127189,8227,outcome_specific,percentage_points
utlz_within_25,decrease_small,delta_w_h=0,-3.384933795308552,1.527420958215921,-6.3786543680490375,-0.3912132225680664,0.026685815406881197,127189,8227,outcome_specific,percentage_points
utlz_within_25,increase_small,delta_w_h=0,-1.2624199664242357,4.1314631938994175,-9.36002154283809,6.835181609989618,0.7599383588552691,127189,8227,outcome_specific,percentage_points
utlz_within_25,increase_large,delta_w_h=0,8.590730331037093,3.622611819280196,1.4904692850583947,15.690991377015795,0.017721517642884432,127189,8227,outcome_specific,percentage_points
