outcome,change_type,event_week,weight,event_week_estimate,post_estimate,post_std_error,post_ci_lower,post_ci_upper,unit,weighting_rule,se_method,cluster_level,source
sch_flg,workmode_only,5,0.08309243913406565,-1.5891073486001333,-0.2625487126078089,1.1419002598038681,-2.5006732218233902,1.9755757966077727,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
sch_flg,workmode_only,6,0.09712854114472924,0.04881026485745778,-0.2625487126078089,1.1419002598038681,-2.5006732218233902,1.9755757966077727,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
sch_flg,workmode_only,7,0.14540373867797263,0.27222207217608313,-0.2625487126078089,1.1419002598038681,-2.5006732218233902,1.9755757966077727,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
sch_flg,workmode_only,8,0.1147298773045545,-1.6463766848421306,-0.2625487126078089,1.1419002598038681,-2.5006732218233902,1.9755757966077727,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_and_workmode,0,0.1475906465966108,-0.15253376064380397,-0.9733245505205934,2.1655186483040465,-5.217741101196525,3.271092000155338,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_and_workmode,1,0.16510461043264224,-3.6940002249454826,-0.9733245505205934,2.1655186483040465,-5.217741101196525,3.271092000155338,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_and_workmode,2,0.2232320363533087,-0.0015944361426742822,-0.9733245505205934,2.1655186483040465,-5.217741101196525,3.271092000155338,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_and_workmode,3,0.17599166903341854,2.100434822691222,-0.9733245505205934,2.1655186483040465,-5.217741101196525,3.271092000155338,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_and_workmode,4,0.05500331345261763,5.1760104490594125,-0.9733245505205934,2.1655186483040465,-5.217741101196525,3.271092000155338,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_and_workmode,5,0.04610432642241787,5.985301834390959,-0.9733245505205934,2.1655186483040465,-5.217741101196525,3.271092000155338,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_and_workmode,6,0.05064849001230711,4.313083198070998,-0.9733245505205934,2.1655186483040465,-5.217741101196525,3.271092000155338,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_and_workmode,7,0.060304837640821736,-19.389423712628766,-0.9733245505205934,2.1655186483040465,-5.217741101196525,3.271092000155338,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_and_workmode,8,0.07602007005585534,-4.209937767415128,-0.9733245505205934,2.1655186483040465,-5.217741101196525,3.271092000155338,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_only,0,0.17199727798570943,-3.246119223581592,1.978328035807279,2.553056879931041,-3.025663448857562,6.98231952047212,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_only,1,0.1449472609731201,2.767867452289061,1.978328035807279,2.553056879931041,-3.025663448857562,6.98231952047212,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_only,2,0.254168084382443,1.1494188758173838,1.978328035807279,2.553056879931041,-3.025663448857562,6.98231952047212,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_only,3,0.21129635930588636,15.82039701978824,1.978328035807279,2.553056879931041,-3.025663448857562,6.98231952047212,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_only,4,0.03793807417488942,-6.010462521305109,1.978328035807279,2.553056879931041,-3.025663448857562,6.98231952047212,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_only,5,0.041000340251786324,-10.79714610690263,1.978328035807279,2.553056879931041,-3.025663448857562,6.98231952047212,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_only,6,0.025348758080979927,-2.2618347428655454,1.978328035807279,2.553056879931041,-3.025663448857562,6.98231952047212,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_only,7,0.0374276964954066,1.937895564383657,1.978328035807279,2.553056879931041,-3.025663448857562,6.98231952047212,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,region_only,8,0.07587614834977884,-11.1229316868725,1.978328035807279,2.553056879931041,-3.025663448857562,6.98231952047212,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,workmode_only,0,0.10536926994906622,0.6439612016132437,0.4333788708661069,1.6260586325251312,-2.7536960488831506,3.6204537906153647,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,workmode_only,1,0.11017968307866441,0.13640323605337715,0.4333788708661069,1.6260586325251312,-2.7536960488831506,3.6204537906153647,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,workmode_only,2,0.1313667232597623,-0.700877932279006,0.4333788708661069,1.6260586325251312,-2.7536960488831506,3.6204537906153647,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,workmode_only,3,0.13684917940011318,-0.7975711292681065,0.4333788708661069,1.6260586325251312,-2.7536960488831506,3.6204537906153647,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,workmode_only,4,0.0927065647990945,-1.552756741691386,0.4333788708661069,1.6260586325251312,-2.7536960488831506,3.6204537906153647,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,workmode_only,5,0.08177702320316921,-0.7304365154091658,0.4333788708661069,1.6260586325251312,-2.7536960488831506,3.6204537906153647,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,workmode_only,6,0.10094793435200905,0.4189654906709215,0.4333788708661069,1.6260586325251312,-2.7536960488831506,3.6204537906153647,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,workmode_only,7,0.1500070741369553,2.9498267856969576,0.4333788708661069,1.6260586325251312,-2.7536960488831506,3.6204537906153647,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
meet_flg,workmode_only,8,0.09079654782116582,2.9804035885938798,0.4333788708661069,1.6260586325251312,-2.7536960488831506,3.6204537906153647,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_and_workmode,0,0.3474481836416314,-1.6174619591684265,-0.7152227337593001,2.4139396748442223,-5.446544496453976,4.016099028935376,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_and_workmode,1,0.1399598841096501,-6.9574301356267725,-0.7152227337593001,2.4139396748442223,-5.446544496453976,4.016099028935376,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_and_workmode,2,0.12034767104969914,-1.6918950705223317,-0.7152227337593001,2.4139396748442223,-5.446544496453976,4.016099028935376,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_and_workmode,3,0.12413639402718966,-3.0126940559408197,-0.7152227337593001,2.4139396748442223,-5.446544496453976,4.016099028935376,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_and_workmode,4,0.1294851794071763,2.796257520694736,-0.7152227337593001,2.4139396748442223,-5.446544496453976,4.016099028935376,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_and_workmode,5,0.10051259193224872,5.746044377725883,-0.7152227337593001,2.4139396748442223,-5.446544496453976,4.016099028935376,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_and_workmode,6,0.038110095832404725,12.030919336270717,-0.7152227337593001,2.4139396748442223,-5.446544496453976,4.016099028935376,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_only,0,0.4726507713884993,-3.638719324374088,-5.983488471089745,3.224708365912617,-12.303916868278474,0.3369399260989822,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_only,1,0.06685366993922394,-9.626124792820704,-5.983488471089745,3.224708365912617,-12.303916868278474,0.3369399260989822,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_only,2,0.08976157082748948,-7.3429960891606125,-5.983488471089745,3.224708365912617,-12.303916868278474,0.3369399260989822,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_only,3,0.09583917718560075,-7.473597722180197,-5.983488471089745,3.224708365912617,-12.303916868278474,0.3369399260989822,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_only,4,0.1042543244506779,-8.043197087637667,-5.983488471089745,3.224708365912617,-12.303916868278474,0.3369399260989822,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
success_within_20,region_only,5,0.11220196353436185,-12.280274478452162,-5.983488471089745,3.224708365912617,-12.303916868278474,0.3369399260989822,percentage_points,treated_orders_on_post_event_weeks_normalized_to_1,a'Cov(theta)a,hex,notebooks/final_empirical_recalculation.ipynb
