outcome,cohort_specification,delta_w_h,n_hex_R0,n_hex_R1,n_hex_day_R0,n_hex_day_R1,has_overlap_hex,rare_cell
t_available,inclusive_2022-07-27,4,0,94,0,976,False,False
t_available,inclusive_2022-07-27,5,0,44,0,369,False,False
t_available,inclusive_2022-07-27,6,0,212,0,1781,False,False
t_available,inclusive_2022-07-27,7,0,10,0,44,False,False
t_available,outcome_specific,-7,357,0,16987,0,False,False
t_available,outcome_specific,-6,0,544,0,3750,False,False
t_available,outcome_specific,-5,76,464,825,5117,True,False
t_available,outcome_specific,-4,160,311,1825,3554,True,False
t_available,outcome_specific,-3,62,205,828,3192,True,False
t_available,outcome_specific,-2,558,82,7653,598,True,False
t_available,outcome_specific,-1,438,79,4805,352,True,False
t_available,outcome_specific,0,0,530,0,10429,False,False
t_available,outcome_specific,1,96,35,1778,244,True,False
t_available,outcome_specific,2,0,114,0,1113,False,False
t_available,outcome_specific,3,0,34,0,200,False,False
t_available,outcome_specific,4,0,94,0,976,False,False
t_available,outcome_specific,5,0,44,0,369,False,False
t_available,outcome_specific,6,0,212,0,1781,False,False
t_available,outcome_specific,7,0,10,0,44,False,False
utlz_within_25,inclusive_2022-07-27,-7,355,0,15028,0,False,False
utlz_within_25,inclusive_2022-07-27,-6,0,537,0,3502,False,False
utlz_within_25,inclusive_2022-07-27,-5,76,462,766,4734,True,False
utlz_within_25,inclusive_2022-07-27,-4,160,310,1655,3248,True,False
utlz_within_25,inclusive_2022-07-27,-3,62,204,713,2924,True,False
utlz_within_25,inclusive_2022-07-27,-2,554,82,7028,539,True,False
utlz_within_25,inclusive_2022-07-27,-1,434,78,4442,318,True,False
utlz_within_25,inclusive_2022-07-27,0,0,526,0,9419,False,False
utlz_within_25,inclusive_2022-07-27,1,96,35,1617,220,True,False
utlz_within_25,inclusive_2022-07-27,2,0,112,0,1015,False,False
utlz_within_25,inclusive_2022-07-27,3,0,34,0,175,False,False
utlz_within_25,inclusive_2022-07-27,4,0,93,0,883,False,False
utlz_within_25,inclusive_2022-07-27,5,0,42,0,334,False,False
utlz_within_25,inclusive_2022-07-27,6,0,210,0,1621,False,False
utlz_within_25,inclusive_2022-07-27,7,0,10,0,46,False,False
utlz_within_25,outcome_specific,-7,355,0,15028,0,False,False
utlz_within_25,outcome_specific,-6,0,537,0,3502,False,False
utlz_within_25,outcome_specific,-5,76,462,766,4734,True,False
utlz_within_25,outcome_specific,-4,160,310,1655,3248,True,False
utlz_within_25,outcome_specific,-3,62,200,713,2907,True,False
utlz_within_25,outcome_specific,-2,509,81,5870,536,True,False
utlz_within_25,outcome_specific,-1,390,76,3577,300,True,False
utlz_within_25,outcome_specific,0,0,526,0,9419,False,False
utlz_within_25,outcome_specific,1,62,35,1163,220,True,False
utlz_within_25,outcome_specific,2,0,109,0,1004,False,False
utlz_within_25,outcome_specific,3,0,34,0,175,False,False
utlz_within_25,outcome_specific,4,0,93,0,883,False,False
utlz_within_25,outcome_specific,5,0,42,0,334,False,False
utlz_within_25,outcome_specific,6,0,210,0,1621,False,False
utlz_within_25,outcome_specific,7,0,10,0,46,False,False
