change_type,estimate_days,std_error_days,ci_lower_days,ci_upper_days,pretrend_pval,n_treated_hexagons,n_treated_requests
region_and_workmode,1.181331603673443,0.12041097508273942,0.9453260925112736,1.4173371148356122,0.00011262034164150059,2228,52905
region_only,0.11357373020914052,0.0828896727829141,-0.04889002844537113,0.2760374888636522,5.87544457530953e-10,530,30387
workmode_only,-0.20481303219121794,0.11301839728357514,-0.4263290908670252,0.01670302648458935,0.011193345110405817,1747,104516
