R_h,delta_w_h,change_type,n_hexagons,n_hex_day,outcome,cohort_specification
1,-2,region_and_workmode,81,547,success_within_20,outcome_specific
1,-1,region_and_workmode,77,307,success_within_20,outcome_specific
1,0,region_only,527,9682,success_within_20,outcome_specific
1,1,region_and_workmode,35,224,success_within_20,outcome_specific
1,2,region_and_workmode,110,1027,success_within_20,outcome_specific
1,3,region_and_workmode,34,183,success_within_20,outcome_specific
1,4,region_and_workmode,93,906,success_within_20,outcome_specific
1,5,region_and_workmode,42,342,success_within_20,outcome_specific
1,6,region_and_workmode,211,1662,success_within_20,outcome_specific
1,7,region_and_workmode,10,46,success_within_20,outcome_specific
0,-7,workmode_only,355,15488,success_within_20,inclusive_2022-07-27
0,-5,workmode_only,76,777,success_within_20,inclusive_2022-07-27
0,-4,workmode_only,160,1713,success_within_20,inclusive_2022-07-27
0,-3,workmode_only,62,738,success_within_20,inclusive_2022-07-27
0,-2,workmode_only,556,7193,success_within_20,inclusive_2022-07-27
0,-1,workmode_only,436,4555,success_within_20,inclusive_2022-07-27
0,0,never_treated,3901,71282,success_within_20,inclusive_2022-07-27
0,1,workmode_only,96,1656,success_within_20,inclusive_2022-07-27
1,-6,region_and_workmode,539,3587,success_within_20,inclusive_2022-07-27
1,-5,region_and_workmode,462,4855,success_within_20,inclusive_2022-07-27
1,-4,region_and_workmode,310,3349,success_within_20,inclusive_2022-07-27
1,-3,region_and_workmode,204,3003,success_within_20,inclusive_2022-07-27
1,-2,region_and_workmode,82,550,success_within_20,inclusive_2022-07-27
1,-1,region_and_workmode,79,326,success_within_20,inclusive_2022-07-27
1,0,region_only,527,9682,success_within_20,inclusive_2022-07-27
1,1,region_and_workmode,35,224,success_within_20,inclusive_2022-07-27
1,2,region_and_workmode,113,1038,success_within_20,inclusive_2022-07-27
1,3,region_and_workmode,34,183,success_within_20,inclusive_2022-07-27
1,4,region_and_workmode,93,906,success_within_20,inclusive_2022-07-27
1,5,region_and_workmode,42,342,success_within_20,inclusive_2022-07-27
1,6,region_and_workmode,211,1662,success_within_20,inclusive_2022-07-27
1,7,region_and_workmode,10,46,success_within_20,inclusive_2022-07-27
0,-7,workmode_only,355,15028,utlz_within_25,outcome_specific
0,-5,workmode_only,76,766,utlz_within_25,outcome_specific
0,-4,workmode_only,160,1655,utlz_within_25,outcome_specific
0,-3,workmode_only,62,713,utlz_within_25,outcome_specific
0,-2,workmode_only,509,5870,utlz_within_25,outcome_specific
0,-1,workmode_only,390,3577,utlz_within_25,outcome_specific
0,0,never_treated,3888,69488,utlz_within_25,outcome_specific
0,1,workmode_only,62,1163,utlz_within_25,outcome_specific
1,-6,region_and_workmode,537,3502,utlz_within_25,outcome_specific
1,-5,region_and_workmode,462,4734,utlz_within_25,outcome_specific
1,-4,region_and_workmode,310,3248,utlz_within_25,outcome_specific
1,-3,region_and_workmode,200,2907,utlz_within_25,outcome_specific
1,-2,region_and_workmode,81,536,utlz_within_25,outcome_specific
1,-1,region_and_workmode,76,300,utlz_within_25,outcome_specific
1,0,region_only,526,9419,utlz_within_25,outcome_specific
1,1,region_and_workmode,35,220,utlz_within_25,outcome_specific
1,2,region_and_workmode,109,1004,utlz_within_25,outcome_specific
1,3,region_and_workmode,34,175,utlz_within_25,outcome_specific
1,4,region_and_workmode,93,883,utlz_within_25,outcome_specific
1,5,region_and_workmode,42,334,utlz_within_25,outcome_specific
1,6,region_and_workmode,210,1621,utlz_within_25,outcome_specific
1,7,region_and_workmode,10,46,utlz_within_25,outcome_specific
0,-7,workmode_only,355,15028,utlz_within_25,inclusive_2022-07-27
0,-5,workmode_only,76,766,utlz_within_25,inclusive_2022-07-27
0,-4,workmode_only,160,1655,utlz_within_25,inclusive_2022-07-27
0,-3,workmode_only,62,713,utlz_within_25,inclusive_2022-07-27
0,-2,workmode_only,554,7028,utlz_within_25,inclusive_2022-07-27
0,-1,workmode_only,434,4442,utlz_within_25,inclusive_2022-07-27
0,0,never_treated,3888,69488,utlz_within_25,inclusive_2022-07-27
0,1,workmode_only,96,1617,utlz_within_25,inclusive_2022-07-27
1,-6,region_and_workmode,537,3502,utlz_within_25,inclusive_2022-07-27
1,-5,region_and_workmode,462,4734,utlz_within_25,inclusive_2022-07-27
1,-4,region_and_workmode,310,3248,utlz_within_25,inclusive_2022-07-27
1,-3,region_and_workmode,204,2924,utlz_within_25,inclusive_2022-07-27
1,-2,region_and_workmode,82,539,utlz_within_25,inclusive_2022-07-27
1,-1,region_and_workmode,78,318,utlz_within_25,inclusive_2022-07-27
1,0,region_only,526,9419,utlz_within_25,inclusive_2022-07-27
1,1,region_and_workmode,35,220,utlz_within_25,inclusive_2022-07-27
1,2,region_and_workmode,112,1015,utlz_within_25,inclusive_2022-07-27
1,3,region_and_workmode,34,175,utlz_within_25,inclusive_2022-07-27
1,4,region_and_workmode,93,883,utlz_within_25,inclusive_2022-07-27
1,5,region_and_workmode,42,334,utlz_within_25,inclusive_2022-07-27
1,6,region_and_workmode,210,1621,utlz_within_25,inclusive_2022-07-27
1,7,region_and_workmode,10,46,utlz_within_25,inclusive_2022-07-27
0,-7,workmode_only,357,16987,t_available,outcome_specific
0,-5,workmode_only,76,825,t_available,outcome_specific
0,-4,workmode_only,160,1825,t_available,outcome_specific
0,-3,workmode_only,62,828,t_available,outcome_specific
0,-2,workmode_only,558,7653,t_available,outcome_specific
0,-1,workmode_only,438,4805,t_available,outcome_specific
0,0,never_treated,3921,76855,t_available,outcome_specific
0,1,workmode_only,96,1778,t_available,outcome_specific
1,-6,region_and_workmode,544,3750,t_available,outcome_specific
1,-5,region_and_workmode,464,5117,t_available,outcome_specific
1,-4,region_and_workmode,311,3554,t_available,outcome_specific
1,-3,region_and_workmode,205,3192,t_available,outcome_specific
1,-2,region_and_workmode,82,598,t_available,outcome_specific
1,-1,region_and_workmode,79,352,t_available,outcome_specific
1,0,region_only,530,10429,t_available,outcome_specific
1,1,region_and_workmode,35,244,t_available,outcome_specific
1,2,region_and_workmode,114,1113,t_available,outcome_specific
1,3,region_and_workmode,34,200,t_available,outcome_specific
1,4,region_and_workmode,94,976,t_available,outcome_specific
1,5,region_and_workmode,44,369,t_available,outcome_specific
1,6,region_and_workmode,212,1781,t_available,outcome_specific
1,7,region_and_workmode,10,44,t_available,outcome_specific
0,-7,workmode_only,357,16987,t_available,inclusive_2022-07-27
0,-5,workmode_only,76,825,t_available,inclusive_2022-07-27
0,-4,workmode_only,160,1825,t_available,inclusive_2022-07-27
0,-3,workmode_only,62,828,t_available,inclusive_2022-07-27
0,-2,workmode_only,558,7653,t_available,inclusive_2022-07-27
0,-1,workmode_only,438,4805,t_available,inclusive_2022-07-27
0,0,never_treated,3921,76855,t_available,inclusive_2022-07-27
0,1,workmode_only,96,1778,t_available,inclusive_2022-07-27
1,-6,region_and_workmode,544,3750,t_available,inclusive_2022-07-27
1,-5,region_and_workmode,464,5117,t_available,inclusive_2022-07-27
1,-4,region_and_workmode,311,3554,t_available,inclusive_2022-07-27
1,-3,region_and_workmode,205,3192,t_available,inclusive_2022-07-27
1,-2,region_and_workmode,82,598,t_available,inclusive_2022-07-27
1,-1,region_and_workmode,79,352,t_available,inclusive_2022-07-27
1,0,region_only,530,10429,t_available,inclusive_2022-07-27
1,1,region_and_workmode,35,244,t_available,inclusive_2022-07-27
1,2,region_and_workmode,114,1113,t_available,inclusive_2022-07-27
1,3,region_and_workmode,34,200,t_available,inclusive_2022-07-27
1,4,region_and_workmode,94,976,t_available,inclusive_2022-07-27
1,5,region_and_workmode,44,369,t_available,inclusive_2022-07-27
1,6,region_and_workmode,212,1781,t_available,inclusive_2022-07-27
1,7,region_and_workmode,10,44,t_available,inclusive_2022-07-27
