outcome,term,event_week,estimate,std_error,ci_lower,ci_upper,p_value,unit,estimated,n_obs,n_hexagons,cohorts_used
sch_flg,R,-8,0.5407574794481076,1.217594385470315,-1.8457041837861423,2.9272191426823575,0.6569568301363038,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,-7,-0.7862095382652398,1.6122500071246357,-3.9461886573098,2.373769580779321,0.6258003684213471,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,-6,2.0722137893939676,1.6769622175821508,-1.2146000220924067,5.359027600880341,0.21657402739525833,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,-5,1.1421633976658694,1.6508703311757011,-2.0935108164525333,4.377837611784272,0.489029341917687,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,-4,1.5902294599391433,1.6930374407388191,-1.7280914808910526,4.908550400769339,0.34759066164638286,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,-3,-0.001612597915750745,1.6068760821817136,-3.151058927050618,3.147833731219116,0.9991992758539867,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,-2,-1.667722235206316,1.697918049581938,-4.995609075843816,1.660164605431184,0.32599514645535166,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,0,-4.493476915037968,2.011366108383757,-8.435715944443814,-0.5512378856321234,0.02548185553248805,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,1,-0.973846070320292,1.6916211181000986,-4.289391045919036,2.3416989052784514,0.5648269713128298,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,2,-0.6624307325959353,1.6800019008528815,-3.9552022650446736,2.630340799852803,0.6933575315886953,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,3,0.5224077967438239,1.7094764951310029,-2.828133375679848,3.872948969167496,0.7599133340208732,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,4,3.4932958211133243,2.311801551289609,-1.0377909192604673,8.024382561487116,0.13077265792092252,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,5,-1.5497106073456348,2.7550005192761318,-6.949458832123591,3.850037617432321,0.5737706586681677,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,6,1.943991274293397,2.6341124339731627,-3.2188186198220934,7.106801168408887,0.4605119195552043,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,7,2.741479552683134,2.4354372303619383,-2.0319307494899985,7.514889854856266,0.26031046210461817,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,R,8,-2.4571655015894582,2.6197491013869567,-7.591823539074939,2.6774925358960227,0.3482772412144448,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,-8,0.14007412359145255,0.7115034343692418,-1.254458973508722,1.5346072206916268,0.8439290683119529,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,-7,0.43208610514188633,0.9302481800194422,-1.3911825017122108,2.2553547119959836,0.6423011922522588,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,-6,-0.9581271695662477,0.8849653761176085,-2.6926423485095072,0.7763880093770119,0.2789559232059997,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,-5,-0.7735766317485036,1.0347925120497787,-2.8017501260396935,1.254596862542686,0.45472268411900196,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,-4,0.6098867911812635,0.9261415053857812,-1.2053328120854667,2.4251063944479934,0.510202292214486,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,-3,-0.8454519781534393,0.9537762414080803,-2.7148351344701793,1.0239311781633005,0.37538957360064185,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,-2,0.05725847523131271,0.8504445102628633,-1.60959646814657,1.7241134186091953,0.9463209189004136,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,0,2.153684518499589,0.9176044413531222,0.35519739714443344,3.952171639854745,0.01892293007342971,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,1,-0.05799477989247077,0.9459070352312797,-1.9119544428972184,1.7959648831122765,0.9511113871968724,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,2,0.05456900770460972,0.9690803676241853,-1.8448099427286784,1.9539479581378978,0.9550948567537869,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,3,0.5985978143375921,0.910800457234103,-1.1865536285263867,2.383749257201571,0.5110394564817664,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,4,-0.9250080491053811,0.9609394915370371,-2.8084310384083,0.9584149401975381,0.3357459311749602,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,5,0.450774355004379,0.9658871696833703,-1.442345988654922,2.34389469866368,0.6407190947705637,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,6,-0.42570175908880625,0.914571269104353,-2.2182439209598743,1.3668404027822618,0.6415985554988928,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,7,0.3618208009374278,1.0298310197238463,-1.6566282634700817,2.3802698653449372,0.7253338369628541,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_plus,8,-0.3280287374681892,1.019654306036572,-2.3265316380610463,1.6704741631246678,0.7476760364953732,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,-8,0.19300803836564448,0.19013775149265916,-0.1796583110241987,0.5656743877554876,0.31006189467519363,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,-7,0.27767804425093573,0.26272717415283275,-0.23726218254997836,0.7926182710518499,0.29055609948711525,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,-6,0.14332923837988035,0.2656043207651159,-0.3772501406474674,0.6639086174072282,0.5894500155745546,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,-5,0.14037379597295507,0.2608329589085631,-0.3708538052473005,0.6516013971932106,0.5904570402502158,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,-4,0.030942225347584628,0.25571226757893195,-0.4702489189924098,0.5321333696875791,0.9036879835152565,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,-3,0.0840394240605935,0.2508522181725251,-0.4076261165740798,0.5757049646952668,0.7376137644877616,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,-2,0.4886568844442502,0.24468711441982707,0.00907482902538009,0.9682389398631204,0.04581968354524779,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,0,0.25381406814449436,0.2546681292577448,-0.24533058509438968,0.7529587213833785,0.31893790003205114,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,1,0.10469915098781245,0.24116846151881044,-0.3679864121716418,0.5773847141472668,0.6641926389889403,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,2,0.14077062628858947,0.23713486971164385,-0.32400917422296915,0.605550426800148,0.5527598496990827,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,3,0.2908831677170429,0.2514519836840767,-0.20195790182719822,0.7837242372612842,0.2473503357584277,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,4,0.13238274015174534,0.2577217904569657,-0.37274703052148994,0.6375125108249806,0.6074868244757679,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,5,0.06916635457157279,0.2752732896229421,-0.4703640181344253,0.608696727277571,0.8016101295232958,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,6,0.2860100053625737,0.258048459856636,-0.21976003107417688,0.7917800417993244,0.26770924596179824,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,7,0.03696624122186324,0.2538338342855113,-0.4605432098587133,0.5344756923024397,0.8842123863284508,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
sch_flg,W_minus,8,0.2140374903996981,0.29934701751346043,-0.3726769276562329,0.800751908455629,0.4746012026072819,percentage_points_per_workday,True,149451,8438,2022-07-27; 2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,-8,2.147203764892766,1.8256086293515463,-1.4309547848465873,5.725362314632119,0.239533867461019,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,-7,-0.5212089939544897,2.3531762475130877,-5.133390144781602,4.090972156872623,0.8247099307903742,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,-6,3.750559983185399,2.510783861842868,-1.1705291250490135,8.67164909141981,0.13523528535328166,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,-5,4.828858166543728,2.3822941129728594,0.1596065475067611,9.498109785580693,0.04266656378756295,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
meet_flg,R,-4,3.1828885574271957,2.4799826227123667,-1.677830701889206,8.043607816743597,0.1993429947714067,percentage_points_per_workday,True,146539,8305,2022-08-12; 2022-08-19; 2022-09-22
